AGUA_CRUDA,CLORO,SULFATO_AL,SULFATO_CU,PH_I,pH_S,COLOR_I,COLOR_S,TURBIEDAD_I,TURBIEDAD_S,,
39915.00,98.00,1000.00,0.00,7.85,7.35,135.75,19.65,16.08,0.38,,
39398.00,100.00,500.00,0.00,7.79,7.32,146.50,24.54,15.00,0.52,,
39087.00,92.00,500.00,0.00,7.74,7.32,151.50,16.74,15.89,0.41,,
39327.00,92.00,1000.00,0.00,7.77,7.32,151.38,17.64,15.76,0.38,,
39327.00,95.00,500.00,0.00,7.75,7.38,153.25,29.50,16.38,0.47,,
39036.00,60.00,1000.00,0.00,7.79,7.29,137.63,23.08,13.88,0.43,,
39724.00,85.00,500.00,40.00,7.84,7.35,140.25,18.26,14.48,0.45,,
39513.00,98.00,500.00,70.00,7.85,7.28,149.96,20.69,14.03,0.45,,
40299.00,96.00,1000.00,50.00,7.86,7.38,142.13,25.97,14.33,0.54,,
39471.00,92.00,500.00,50.00,7.83,7.35,137.25,19.11,14.26,0.55,,
39216.00,88.00,500.00,50.00,7.89,7.40,133.67,13.52,14.22,0.42,,
29411.00,63.00,500.00,40.00,7.71,7.40,114.00,12.88,14.08,0.27,,
39192.00,80.00,1000.00,50.00,7.77,7.42,125.50,21.17,14.74,0.49,,
39263.00,90.00,500.00,50.00,7.97,7.28,144.50,15.39,15.65,0.43,,
39148.00,88.00,500.00,50.00,7.81,7.39,177.42,24.08,17.48,0.43,,
39139.00,92.00,500.00,60.00,7.83,7.34,99.50,12.54,16.41,0.35,,
39501.00,52.00,1000.00,50.00,7.88,7.25,181.63,23.22,17.89,0.50,,
39434.00,0.00,500.00,50.00,7.79,7.45,181.54,23.22,18.01,0.40,,
39080.00,0.00,1000.00,60.00,7.84,7.42,159.25,21.44,17.78,0.42,,
39063.00,16.00,500.00,50.00,7.90,7.41,145.25,19.38,16.04,0.39,,
39480.00,89.00,1000.00,60.00,7.88,7.43,164.38,21.80,16.65,0.41,,
39160.00,94.00,500.00,60.00,7.84,7.45,156.00,25.44,15.35,0.41,,
39132.00,93.00,1000.00,50.00,7.83,7.53,156.00,14.76,16.70,0.40,,
39218.00,89.00,500.00,50.00,7.62,7.12,157.75,21.79,17.83,0.33,,
15423.00,39.00,500.00,30.00,7.81,7.55,150.67,20.53,16.20,0.40,,
14332.00,39.00,0.00,20.00,7.98,7.59,185.00,20.46,20.05,0.47,,
39363.00,96.00,1000.00,60.00,7.89,7.58,192.00,,17.20,0.46,,
39356.00,94.00,500.00,50.00,7.96,7.54,182.00,,16.58,0.43,,
39206.00,98.00,1000.00,50.00,7.97,7.56,189.25,,17.78,0.43,,
39166.00,100.00,500.00,60.00,7.94,7.56,197.50,,18.88,0.53,,
39387.00,84.00,1000.00,60.00,7.92,7.57,182.00,,16.75,0.40,,
39303.00,101.00,500.00,60.00,7.97,7.58,188.17,20.24,18.73,0.53,,
39290.00,93.00,1000.00,50.00,7.94,7.39,186.63,21.53,19.43,0.39,,
39104.00,98.00,1000.00,50.00,7.91,7.54,183.38,26.66,18.84,0.44,,
39409.00,98.00,500.00,60.00,7.79,7.47,175.38,24.44,17.56,0.41,,
39387.00,91.00,1000.00,50.00,7.92,7.55,176.50,32.48,17.23,0.40,,
39278.00,96.00,500.00,50.00,8.00,7.55,189.67,27.20,18.43,0.39,,
39077.00,101.00,1000.00,50.00,7.88,7.59,200.13,36.10,18.63,0.49,,
39343.00,100.00,500.00,50.00,7.94,7.65,177.75,30.28,17.74,0.40,,
39318.00,102.00,1000.00,50.00,8.01,7.58,201.25,31.45,22.65,0.47,,
31988.00,79.00,500.00,50.00,7.88,7.51,145.63,25.13,15.24,0.46,,
29150.00,77.00,500.00,50.00,8.40,7.84,102.50,66.50,9.74,0.69,,
24633.00,75.00,500.00,30.00,8.57,7.86,113.00,47.81,8.57,0.69,,
27392.00,68.00,500.00,50.00,7.97,7.68,123.25,72.48,8.35,2.05,,
25053.00,79.00,0.00,30.00,8.67,7.86,94.63,65.40,3.99,1.97,,
28891.00,78.00,500.00,30.00,8.67,7.86,94.63,65.40,3.99,1.97,,
25110.00,68.00,500.00,30.00,8.92,8.09,93.00,76.39,6.14,4.24,,
22563.00,106.00,500.00,50.00,7.91,7.91,296.25,32.88,21.70,1.58,,
37310.00,102.00,500.00,50.00,8.04,7.59,168.67,27.24,24.23,0.58,,
36953.20,92.00,1000.00,50.00,7.25,7.66,219.13,26.65,22.13,0.54,,
37998.00,97.00,500.00,60.00,8.27,7.71,260.92,34.55,26.38,0.44,,
37802.00,97.00,1000.00,50.00,7.95,7.73,280.67,,31.50,0.57,,
37366.00,92.00,500.00,50.00,8.17,7.75,270.50,26.93,25.90,0.52,,
37291.00,88.00,1000.00,50.00,8.12,7.61,246.00,22.90,22.75,0.41,,
39349.00,94.00,500.00,50.00,8.18,7.60,217.38,26.88,21.45,0.40,,
34689.00,93.00,1000.00,50.00,8.18,7.59,200.63,24.00,21.26,0.42,,
38027.00,95.00,1000.00,50.00,8.16,7.68,233.75,33.09,22.35,0.45,,
37783.00,98.00,500.00,50.00,8.27,7.81,181.38,31.23,16.85,0.57,,
35819.00,100.00,1000.00,30.00,8.37,7.64,199.50,32.33,19.06,0.39,,
36856.00,107.00,1000.00,60.00,8.11,7.57,293.13,31.20,31.49,0.37,,
37578.00,105.00,500.00,50.00,8.08,7.52,264.00,30.83,33.03,0.29,,
31610.00,94.00,1000.00,60.00,8.17,7.67,264.75,22.19,23.68,0.41,,
31068.00,83.00,500.00,40.00,8.87,7.89,130.50,37.24,11.82,0.66,,
25457.00,74.00,500.00,40.00,8.75,7.89,139.67,50.72,10.32,0.87,,
26865.00,52.00,0.00,40.00,8.99,8.08,155.00,82.96,12.79,1.26,,
24295.00,80.00,500.00,30.00,8.91,7.93,96.50,32.67,4.27,1.38,,
31853.00,95.00,500.00,40.00,8.80,7.91,80.13,41.76,2.83,0.97,,
26573.00,89.00,500.00,40.00,9.08,8.17,72.50,64.00,3.22,1.48,,
24707.00,91.00,0.00,40.00,9.17,7.99,52.13,39.00,2.50,1.32,,
24156.00,92.00,500.00,40.00,9.03,8.02,41.00,33.52,3.26,1.01,,
20491.00,69.00,0.00,20.00,8.97,,93.00,62.75,7.62,,,
25900.00,86.00,500.00,40.00,8.75,8.05,56.75,40.29,3.69,0.27,,
31620.00,95.00,500.00,40.00,8.54,7.98,258.13,35.44,30.95,1.35,,
35336.00,99.00,1000.00,60.00,8.33,7.74,328.00,21.40,36.13,0.34,,
37434.00,101.00,1000.00,50.00,8.26,7.88,440.75,21.54,57.53,0.66,,
35445.00,104.00,1000.00,50.00,8.28,7.88,527.50,22.34,64.97,0.47,,
36316.00,107.00,1000.00,60.00,8.37,7.88,549.00,14.63,59.98,0.55,,
35606.00,102.00,1000.00,50.00,8.33,7.82,477.71,16.61,58.86,0.41,,
36109.00,107.00,500.00,50.00,8.16,7.86,181.00,18.31,47.21,0.39,,
28240.00,95.00,1000.00,50.00,8.38,7.87,207.42,15.06,50.63,0.46,,
25120.00,81.00,500.00,40.00,8.28,7.90,413.17,13.44,53.90,0.45,,
25770.00,73.00,500.00,50.00,8.54,8.03,282.92,11.68,30.40,0.49,,
25085.00,75.00,500.00,40.00,8.78,7.94,206.63,9.47,17.95,0.58,,
25331.00,75.00,500.00,50.00,8.65,8.16,138.50,67.73,10.50,1.03,,
31012.00,81.00,500.00,40.00,8.60,8.23,103.88,67.73,6.67,1.12,,
25846.00,87.00,500.00,40.00,8.35,7.48,135.75,70.52,12.30,1.34,,
25229.00,87.00,500.00,40.00,8.63,8.23,500.25,54.25,49.54,1.03,,
29179.00,109.00,1000.00,40.00,8.35,7.83,555.44,18.41,67.34,0.90,,
29221.00,103.00,500.00,50.00,8.39,7.88,438.08,15.33,78.08,0.56,,
35705.00,94.00,500.00,60.00,8.41,7.87,444.92,21.16,75.31,0.45,,
33717.00,103.00,500.00,40.00,8.48,7.94,535.44,27.15,72.91,0.43,,
34859.00,101.00,1000.00,50.00,8.39,7.93,412.00,31.35,67.10,0.42,,
33466.00,103.00,500.00,50.00,8.33,7.86,694.38,27.00,67.15,0.41,,
32684.00,103.00,1000.00,50.00,8.36,7.97,576.25,10.09,102.85,0.52,,
37523.00,104.00,500.00,60.00,8.45,7.96,417.63,25.62,68.31,0.60,,
32649.00,101.00,1000.00,50.00,8.60,8.00,313.50,15.73,41.05,0.54,,
28108.00,86.00,500.00,50.00,8.89,8.08,260.67,20.25,26.29,0.52,,
28089.00,97.00,1000.00,40.00,8.78,8.18,244.08,60.36,23.48,0.97,,
28745.00,99.00,500.00,50.00,8.52,8.21,193.75,54.17,19.08,0.97,,
33995.00,109.00,1000.00,40.00,8.95,8.05,165.75,45.50,12.50,0.78,,
31983.00,112.00,500.00,40.00,8.99,8.10,204.83,58.03,17.52,0.86,,
36791.00,104.00,1000.00,60.00,8.39,7.92,988.50,39.56,174.75,0.67,,
