AGUA_CRUDA,CLORO,SULFATO_AL,SULFATO_CU,PH_I,pH_S,COLOR_I,COLOR_S,TURBIEDAD_I,TURBIEDAD_S,,
46625.67,116.00,1700.00,18.00,7.61,6.83,2718.00,51.00,323.17,0.36,,
45704.21,119.00,1700.00,12.00,7.68,6.84,2823.00,28.00,330.42,0.40,,
45354.85,119.00,1700.00,12.00,7.71,6.87,2716.00,51.00,327.75,0.43,,
44025.60,129.00,1700.00,12.00,7.59,6.90,2482.00,58.00,285.50,0.41,,
43524.72,122.00,1700.00,18.00,7.69,6.85,2458.00,64.00,253.50,0.45,,
45317.68,111.00,1700.00,18.00,7.64,6.76,2181.00,46.00,226.58,0.35,,
45400.20,116.00,1700.00,12.00,7.58,6.79,1943.00,54.00,202.33,0.35,,
44089.70,111.00,1700.00,24.00,7.53,6.86,1746.00,56.00,180.75,0.27,,
44550.90,116.00,1700.00,12.00,7.59,6.86,1582.00,49.00,159.58,0.43,,
44496.80,117.00,1700.00,18.00,7.54,6.89,1506.00,59.00,144.33,0.36,,
44119.45,123.00,1700.00,12.00,7.62,6.91,1457.00,42.00,120.50,0.31,,
43687.65,118.00,1700.00,12.00,7.72,6.85,1233.00,61.00,107.04,0.48,,
44589.90,120.00,1700.00,18.00,7.66,6.88,3432.00,68.00,140.61,0.49,,
44416.90,120.00,1700.00,18.00,7.53,6.74,2195.00,75.00,203.17,0.37,,
44976.70,120.00,1700.00,18.00,7.51,6.83,2923.00,66.00,267.25,0.41,,
43718.60,119.00,2550.00,12.00,7.52,6.84,1942.00,59.00,195.75,0.36,,
44285.70,127.00,1700.00,24.00,7.62,6.92,1712.00,42.00,163.50,0.46,,
43394.40,128.00,850.00,18.00,7.60,6.83,1542.00,48.00,139.00,0.48,,
35105.30,123.00,1800.00,18.00,7.63,6.86,1239.00,40.00,121.67,0.35,,
41009.10,121.00,950.00,24.00,7.70,6.98,1040.00,48.00,108.58,0.42,,
39992.90,112.00,1700.00,12.00,7.74,6.82,900.00,22.00,111.50,0.45,,
40920.80,115.00,1700.00,18.00,7.61,6.79,815.00,54.00,93.19,0.35,,
38374.40,112.00,1700.00,18.00,7.72,6.85,1233.00,61.00,107.04,0.48,,
38480.20,100.00,1700.00,18.00,7.60,6.83,847.00,48.00,92.46,0.48,,
38419.70,99.00,850.00,24.00,7.69,6.85,885.00,43.00,98.88,0.45,,
38218.30,104.00,1700.00,18.00,7.78,6.76,908.00,13.00,100.05,0.54,,
31626.60,103.00,850.00,24.00,7.66,6.90,978.00,14.00,99.55,0.41,,
40644.00,105.00,1700.00,24.00,7.55,6.86,860.00,17.00,87.25,0.27,,
38036.00,109.00,850.00,24.00,7.56,6.91,865.00,25.00,79.39,0.32,,
39823.00,111.00,1700.00,24.00,7.53,6.92,714.00,17.00,76.20,0.38,,
39148.00,107.00,850.00,24.00,7.75,6.93,633.00,32.00,60.68,0.39,,
39646.00,96.00,1700.00,24.00,7.66,6.87,712.00,30.00,65.79,0.34,,
41242.00,92.00,850.00,24.00,7.66,6.87,618.00,28.00,60.38,0.53,,
37640.00,93.00,1700.00,24.00,7.64,6.91,520.00,34.00,48.10,0.45,,
39318.00,93.00,850.00,24.00,7.65,6.97,523.00,42.00,49.83,0.38,,
38879.00,95.00,1700.00,24.00,7.58,7.02,460.00,37.00,40.61,0.35,,
39070.00,91.00,850.00,24.00,7.69,6.97,391.00,36.00,35.33,0.32,,
37346.00,92.00,850.00,24.00,7.58,6.94,359.00,33.00,35.16,0.39,,
42161.00,90.00,1700.00,24.00,7.68,6.98,304.00,26.00,31.47,0.43,,
39548.00,99.00,850.00,24.00,7.70,6.97,273.00,12.00,28.47,0.41,,
38964.00,93.00,850.00,24.00,7.64,6.93,242.00,17.00,22.28,0.34,,
38656.00,89.00,850.00,24.00,7.49,6.90,260.00,22.00,22.36,0.30,,
39580.00,98.00,850.00,24.00,7.66,7.11,230.00,27.00,20.12,0.29,,
39483.00,94.00,850.00,24.00,7.57,6.93,222.00,27.00,19.24,0.33,,
39700.00,103.00,550.00,24.00,7.44,6.85,218.00,27.00,19.76,0.37,,
39446.00,103.00,550.00,24.00,7.57,7.01,215.00,32.00,19.11,0.33,,
39602.00,104.00,1000.00,30.00,7.52,7.07,215.00,26.00,18.87,0.43,,
38370.00,102.00,575.00,30.00,7.55,7.05,223.00,22.00,20.24,0.35,,
39688.00,100.00,1000.00,30.00,7.47,6.93,198.00,33.00,18.47,0.33,,
37780.00,104.00,500.00,30.00,7.63,6.99,194.00,36.00,17.12,0.41,,
