V_COD_ESTA,V_ANO,V_MES,V_DIA,N_VI101,N_VI102,N_VI103,V_VT101,N_VT102,V_VT103,N_VT104,V_VT105,N_VT106,V_NB104,N_NB105,N_NB106,V_NB107,N_NB108,V_NB109,N_NB110,V_NB111,N_NB112,N_NB113,V_NB114,N_NB115,V_NB116,N_NB117,V_NB118,N_NB119,N_NB120,V_NB121,N_NB122,V_NB123,N_NB124,N_TM102,N_TM103,N_TM104,N_TM105,N_TM106,N_TM107,N_TM108,N_TM109,N_PT101,N_PT102,N_PT103,N_EV103,N_EV104,N_EV109
374,2013,1,4,40,43,10,E,1,E,4,E,4,CU,3,1400,AC,2,CI,2,CU,6,1400,AC,2,,,CU,4,1300,AC,3,,,19.7,9.3,10.1,19.3,14.2,8.8,12.5,10.6,0,0.1,0,0.4,2.2,2.7
374,2013,1,5,39,40,15,E,2,E,4,E,2,CU,7,130,AC,1,,,CU,5,1400,AC,2,,,CU,5,1400,AC,2,,,20.9,6.7,8.8,2,15,8.1,12.4,11.4,0.2,0,0,0.5,2.1,2.7
374,2013,1,6,28,38,10,E,4,E,4,E,4,SC,8,1000,,,,,CU,4,1400,AC,1,CI,1,CU,6,1400,AC,1,,,20.6,11,11.4,19,14.6,9.2,12.6,10.8,0,0.2,0,0.6,2.1,2.8
374,2013,1,7,30,40,6,E,2,E,4,E,4,CU,8,1200,,,,,CU,4,1300,AC,2,,,CU,8,1200,,,,,20,10.3,11.4,19,13.6,9.4,11.4,9.6,0,0,0,0.7,2.7,3.4
374,2013,1,8,35,39,15,E,4,E,4,E,7,CU,6,1300,AC,2,,,CU,4,1400,AC,1,,,CU,8,1200,,,,,19.5,8.9,9.6,18.8,13.8,7.6,12,10.2,0,0,0,0.7,2.5,3.6
374,2013,1,9,42,40,20,E,4,E,4,E,7,CU,1,1400,,,,,CU,5,1500,AC,1,,,CU,3,1400,AC,2,CI,1,19.4,11.1,12.6,18.9,13.8,8.1,12.2,10,0,0,0,1.1,2.7,3.6
374,2013,1,10,40,41,10,E,4,W,4,E,7,CU,8,1300,,,,,CU,7,1400,AC,1,,,SC,8,700,,,,,20.8,9.6,10.8,19.8,14.8,8.4,12,11.2,0.7,0,0,0.9,2.4,2.9
374,2013,1,11,45,42,20,E,4,W,4,W,4,,,,AC,1,,,CU,6,1300,AC,2,,,CU,6,1300,AC,2,,,21.6,9.9,11.6,18.9,14.5,9.3,13.2,11.1,0.8,0.7,0,0.5,2.2,2.8
374,2013,1,12,20,30,15,W,4,W,4,E,2,CU,6,1400,AC,2,,,SC,7,1000,AC,1,,,SC,8,800,,,,,16.9,10.4,10.6,16.1,12.8,9.8,12.6,11,2.5,0.8,2.5,0.6,0.9,1.2
374,2013,1,13,40,40,20,W,2,E,4,W,4,CU,7,1200,AC,1,,,CU,3,1400,AC,2,CI,1,CU,6,1200,AC,2,,,21.2,8.2,9.6,18.8,14.5,8.8,11.8,11.6,0,0,0,0.3,1.7,2.1
374,2013,1,14,36,42,10,E,2,W,4,W,4,CU,5,1300,AC,2,,,CU,4,1500,AC,1,,,CU,7,1200,AC,1,,,21,1.6,12.3,19,13.9,11,12.8,11,2.6,0,2.6,0.4,1.8,2.2
374,2013,1,15,38,41,20,W,1,W,2,W,4,CU,3,1400,AC,2,,,CU,5,1400,AC,1,,,CU,1,1400,,,,,19.4,7,7.8,17.8,12.2,7.8,12,9.4,0,0,0,0.4,1.9,2.2
374,2013,1,16,40,40,6,E,1,E,2,W,7,CU,1,1400,AC,1,,,CU,7,1300,AC,1,,,CU,8,1200,,,,,19,7.3,8.2,16,11.5,7.4,10.6,10.1,2.2,0,0.5,0.3,1.8,2.1
374,2013,1,17,30,44,12,W,2,W,4,W,7,CU,7,1200,,,,,CU,1,1500,AC,1,,,CU,6,1300,AC,2,,,20,8.5,9.3,18.1,13.2,7.8,9.6,8.6,0,1.7,0,0.3,2.4,3.1
374,2013,1,18,42,41,20,E,2,E,2,W,7,CU,1,1400,,,,,CU,5,1400,AC,1,CI,1,CU,1,1400,,,,,20.5,7.4,9.2,18.6,13.6,8,12.2,9.8,0,0,0,0.7,2.2,2.7
374,2013,1,19,39,40,25,E,2,E,4,W,4,CU,5,1400,AC,1,,,CU,4,1400,AC,2,,,CU,1,1300,,,CI,2,21,7.9,10.5,20.4,14.7,9.2,12.8,10.6,0,0,0,0.5,2.2,2.8
374,2013,1,20,36,39,22,E,4,E,4,E,4,CU,7,1200,AC,1,,,CU,5,1400,AC,2,,,CU,5,1300,AC,2,,,20.7,8.4,10.7,18.9,15.6,8.8,11.5,11.1,0,0,0,0.6,2.6,3.3
374,2013,1,21,38,28,6,E,2,E,4,E,2,CU,8,1200,,,,,SC,8,1000,,,,,SC,5,800,AC,1,CI,1,19.6,9.3,11.5,18,14,9.3,13.1,11.9,0.9,0,0.4,0.7,1.7,1.9
374,2013,1,22,20,36,4,E,2,E,4,E,4,ST,8,500,,,,,CU,6,1300,AC,2,,,ST,8,600,,,,,19.8,8.7,10.4,17.8,13.8,9.6,12.6,11.1,23,0.5,1.3,0.2,1.4,1.5
374,2013,1,23,36,35,10,W,2,W,4,E,7,CU,8,1200,,,,,CU,6,1400,AC,2,,,ST,6,500,AC,2,,,19.5,8.9,9.3,17.8,11.4,8.9,12.4,10.4,17.2,21.7,7.7,0.1,1.1,1.3
374,2013,1,24,1,37,15,W,1,W,4,W,7,ST,8,400,,,,,CU,5,1400,AC,2,,,ST,8,600,,,,,18.2,8.7,8.8,16.6,10.5,8.4,12.5,9.2,1.5,9.5,1.4,0.2,1.2,1.4
374,2013,1,25,40,35,1,W,1,W,2,W,2,CU,3,1400,AC,4,,,CU,3,1400,AC,1,,,ST,8,200,,,,,20.6,8.1,8.7,17.8,12.4,8.4,13.4,10.5,4.8,0.1,1.1,0.2,1.8,2
374,2013,1,26,30,38,25,E,2,E,4,W,4,CU,4,1300,AC,1,,,CU,7,1300,AC,1,,,CU,3,1400,AC,2,,,20.1,7.6,10,16.9,15,9.1,12.6,11.8,0,3.7,0,0.2,1.9,2.4
374,2013,1,27,45,40,20,E,2,E,4,W,4,CU,1,1400,,,,,CU,4,1400,AC,2,CI,1,CU,5,1400,AC,2,,,21,9.9,10.5,19.7,16,8.9,12.4,12.2,0.4,0,0,0.5,2.4,3
374,2013,1,28,30,37,8,E,4,E,4,E,2,CU,8,1300,,,,,CU,5,1400,AC,1,,,CU,7,1200,AC,1,,,20.6,11.6,11.9,19.2,13.8,10.2,12.7,11.4,3,0.4,0.3,0.6,2,2.4
374,2013,1,29,34,39,15,E,2,E,4,E,1,CU,5,1300,AC,2,CI,1,CU,6,1400,AC,2,,,CU,7,1200,AC,1,,,21.2,10.6,10.8,19.8,15.1,9.8,13,11.8,0,2.7,0,0.4,2.2,2.9
374,2013,1,30,36,40,30,E,4,E,4,W,4,CU,5,1400,AC,1,CI,1,CU,3,1500,AC,1,,,CU,4,1400,AC,2,CI,2,22.4,10.7,11.5,21,17.4,10,12.4,12.3,0,0,0,0.7,2.7,3.4
374,2013,1,31,35,38,15,E,2,W,7,W,7,CU,6,1300,AC,2,,,CU,5,1400,AC,2,,,CU,3,1400,AC,1,CI,2,21.8,10.6,11,20.4,14,9.4,13.8,10.6,0,0,0,0.7,2.5,3
374,2013,2,1,37,40,6,E,1,W,4,W,4,CU,3,1400,AC,2,CI,3,CU,3,1400,AC,1,CI,2,SC,8,900,,,,,22.3,8.4,9.4,20.2,12.4,8.7,12.9,10.8,1.8,0,1.5,0.5,1.8,2.1
374,2013,2,2,40,41,10,E,2,W,4,E,2,,,,AC,2,CI,4,CU,4,1400,AC,1,CI,3,SC,8,1000,,,,,20.6,7.4,7.7,18.4,12.8,7.6,13.3,10.6,18.5,0.3,18.5,0.3,1.2,1.4
374,2013,2,3,35,38,4,E,2,W,7,W,1,CU,1,1300,AC,1,CI,4,CU,4,1400,AC,1,CI,1,ST,8,300,,,,,19,7.1,7.6,17.8,11.3,7.6,13.1,10.4,16.8,0,6.4,0.2,1.2,1.4
374,2013,2,4,10,10,4,W,2,E,4,E,7,ST,8,500,,,,,ST,8,600,,,,,ST,8,500,,,,,15.2,10.4,10.7,14.3,12.5,9.9,12,11.2,7.1,10.4,2.1,0.2,0.4,0.6
374,2013,2,5,12,20,1,E,2,E,4,E,4,ST,8,600,,,,,CU,7,1200,,,CI,1,ST,8,200,,,,,15.5,10.2,10.4,13.3,9.8,10,11.7,9.2,24.4,5,20.1,0.2,0.7,0.8
374,2013,2,6,36,38,10,W,2,W,4,W,4,CU,4,1400,AC,2,,,CU,3,1400,,,CI,3,CU,3,1200,AC,2,,,18.6,8.6,9,16,12.4,8.8,12.2,10.8,1.4,4.3,0.8,0.1,1,1.2
374,2013,2,7,20,40,6,W,2,W,4,W,4,CU,8,1200,,,,,CU,4,1300,AC,2,,,SC,8,1000,,,,,18.5,9.9,10,18.6,12.9,9.8,13,10.1,0.3,0.6,0,0.2,1.2,1.4
374,2013,2,8,30,37,8,W,2,W,4,E,4,CU,8,1300,,,,,CU,5,1300,AC,3,,,CU,6,1200,AC,2,,,18.4,10.3,10.4,15.8,11.6,9.8,11.6,10.5,1,0.3,1,0.2,0.8,1.1
