;Mes;tx;tm;pp;etp
2076;9;18.8131278;1.377599706;1.481245211;1.421658019
2077;9;17.98399577;2.242039131;0.56078586;1.410500443
2078;9;18.3935486;2.203937443;0.304399247;1.430718944
2079;9;18.70785446;2.492428051;0.079763271;1.497466916
2080;9;18.765566;3.33532163;0.1775547;2.382601943
2081;9;19.36730996;2.428234045;0.078348772;1.488328447
2082;9;19.00473905;1.722199743;0.266946179;1.528365387
2083;9;18.58194879;1.466817249;1.191458373;1.578591137
2084;9;17.9994801;2.269739828;4.482093893;1.541907535
2085;9;17.284018;2.10934286;1.081436201;1.660284107
2086;9;17.13295811;3.039923103;6.288157685;1.68589711
2087;9;18.39543883;2.952028166;0.700446501;1.664821794
2088;9;19.33572274;1.348079939;2.881772749;1.538771472
2089;9;19.07353841;3.102333661;2.651691489;1.603449278
2090;9;17.93944237;2.713588824;3.055296453;1.589774893
2091;9;17.75620255;1.985696326;1.83777416;2.418067692
2092;9;18.28351346;2.460497207;2.301467865;1.579972605
2093;9;19.18131597;1.19372246;2.334836273;1.56968831
2094;9;20.36221064;1.639683834;3.286054388;1.577294946
2095;9;18.87841974;3.900821711;17.82584294;1.548634977
2096;9;14.87823884;2.160276148;1.228788943;1.600095687
2097;9;19.44727412;2.041420027;0.319993946;1.654433096
2098;9;18.94491457;1.500636636;2.088447275;1.634408256
2099;9;19.89896439;2.470193501;0.041890919;1.691781426
2100;10;20.55202264;0.809321748;0.0117489;1.69241742
2101;10;20.72869346;1.418206441;0.130899482;1.687616903
2102;10;19.39276363;2.39455107;0.723808104;2.335254941
2103;10;19.4517156;2.473703722;0.173701548;1.606831504
2104;10;18.73537453;3.495501523;3.883964989;1.680415344
2105;10;19.976296;3.090250475;0.709903895;1.580378169
2106;10;19.13589759;2.826483774;0.564955821;1.440942647
2107;10;19.5105416;3.182446081;1.258487337;1.564190348
2108;10;20.60305681;1.928106436;2.611862669;1.578724824
2109;10;19.19514616;1.496132097;7.645802407;1.62535859
2110;10;16.98663731;2.714673251;1.398403442;1.697438608
2111;10;15.38774183;4.030357346;1.226034613;1.626745703
2112;10;17.26370713;2.750630907;0.245508254;1.665444898
2113;10;18.86186918;2.598698549;0.050138535;1.996259755
2114;10;19.89416933;2.95775938;0.836480105;2.300667342
2115;10;18.72346247;4.079582779;0.81796885;1.664972378
2116;10;19.69928962;3.281960345;1.405491616;1.733880482
2117;10;19.61967491;4.422888407;0.35833614;1.792664623
2118;10;18.88038429;2.471456306;0.475199491;1.90153915
2119;10;19.60719387;1.463873046;0.048798947;1.793347436
2120;10;19.16237955;0.275157438;0.020391423;1.942750302
2121;10;19.11525289;1.19720141;0.6662556;1.987544982
2122;10;18.74487907;3.601479448;0.339988483;1.899264816
2123;10;19.80694981;2.344685179;0.070111781;1.852546419
2124;10;20.33076599;1.038380186;0.065481267;1.891325115
2125;10;20.37036666;2.262108162;0.063613717;2.333561025
2126;10;20.12533737;3.32736104;0.186610739;1.73984269
2127;10;20.27989727;2.190219257;1.088207836;1.563218006
2128;10;19.82248675;2.351688899;1.547609655;1.594656363
2129;10;20.52206586;1.557481026;0.711130885;1.680277115
2130;10;19.84466433;2.213087734;1.575920835;1.717668759
2131;11;20.14152359;4.493507604;3.333713813;1.781923712
2132;11;18.86445116;4.008254216;5.914105518;1.84942154
2133;11;18.77700428;4.293525123;7.072777758;1.94720698
2134;11;19.17310263;4.780876864;3.833260547;1.890992833
2135;11;19.27578685;3.748122913;3.271717451;1.874163886
2136;11;19.08968881;4.978798869;9.226473809;2.29562666
2137;11;19.04199837;5.566860822;5.749557671;1.890534781
2138;11;19.89441311;4.988366617;0.5892977;1.975715683
2139;11;19.73495077;5.232926349;1.092248951;2.018862743
2140;11;18.56009557;4.194590112;3.484658163;2.022266033
2141;11;17.5905901;4.742205953;1.472751555;1.834957085
2142;11;18.31038728;4.960710643;0.077701699;1.799314325
2143;11;20.54409017;4.248130679;0.007196982;1.547115181
2144;11;20.85694058;4.751147635;0.653106521;1.674134323
2145;11;20.18700565;4.749148153;1.59855865;1.781695221
2146;11;18.98131505;4.924822181;2.689396652;1.917723636
2147;11;19.06205453;5.220656821;7.88611222;2.356347374
2148;11;19.62855343;4.631073986;0.398723709;1.967191122
2149;11;20.84184869;3.408104459;0.55637621;2.019571945
2150;11;20.79442675;4.545725138;1.467011599;2.140163417
