"fecha_hora","Costa_Norte","Costa_Centro","Costa_Sur","Sierra_Norte","Sierra_Centro","Sierra_Sur","Selva_Norte","Selva_Centro","Selva_Sur"
1973-02-15,101130.8046875,101044.828125,100857.2578125,101120.09375,101017.5390625,100905.7578125,101190.15625,101057.2265625,100905.4609375
1973-03-16,101051.5390625,101036.78125,101101.234375,101042.78125,101026.6953125,101022.8203125,101122.7578125,101027.2265625,101014.078125
1973-04-16,101024.375,101065.2265625,101239.9453125,101011.90625,101020.21875,101080.046875,101091.859375,100994.0703125,101032.5859375
1973-05-16,100955.3515625,101136.796875,101433.484375,100957.7265625,101070.8203125,101210.4921875,101018.703125,100990.484375,101126.5078125
1973-06-16,100855.7265625,101110.3984375,101463.78125,100876.453125,101041.546875,101227.8984375,100945.4375,100942.0390625,101154.078125
1973-07-16,101012.0234375,101326.328125,101683.3359375,101051.921875,101266.09375,101462.390625,101107.9140625,101163.4140625,101393.2421875
1973-08-16,100974.328125,101358.0078125,101701.40625,101023,101286.3671875,101475.0703125,101072.484375,101159.484375,101397.0390625
1973-09-16,101274.71875,101516.875,101716.359375,101283.0390625,101428.5546875,101537.3984375,101305.3046875,101322.1328125,101467.328125
1973-10-16,101206.609375,101465.4921875,101683.7265625,101230.1015625,101388.53125,101520.25,101252.3125,101287.25,101448.8125
1973-11-16,101226.328125,101423.4921875,101583.515625,101240.1484375,101341.46875,101433.75,101277.4765625,101251.1953125,101360.0234375
1973-12-16,101036.6953125,101204.3125,101316.421875,101049.8984375,101127.234375,101181.7890625,101101.21875,101044.59375,101111.5546875
1974-01-16,101192.296875,101175.125,101131.7109375,101177.7890625,101131.8046875,101079.0078125,101247.6953125,101132.0234375,101047.6953125
1974-02-15,101204.15625,101181.40625,101130.1796875,101183.390625,101125.171875,101066.6640625,101254.84375,101120.78125,101027.3828125
1974-03-16,101226.0703125,101274.3203125,101330.8125,101224.6328125,101229.78125,101227.7421875,101298.4296875,101209.5546875,101190.8046875
1974-04-16,101041.1953125,101231.609375,101534.0625,101053.59375,101177.0703125,101335.8125,101119.65625,101094.8125,101275.53125
1974-05-16,101035.734375,101281.90625,101562.65625,101061.328125,101224.5,101373.2890625,101112.03125,101131.3046875,101312.890625
1974-06-16,101123.3515625,101381.8984375,101648.71875,101165.1484375,101338.828125,101476.1953125,101198.4140625,101256.359375,101423.890625
1974-07-16,101296.96875,101556.53125,101839.921875,101326.0234375,101486.5234375,101634.484375,101336.953125,101393.265625,101565.9453125
1974-08-16,101334.0078125,101525.6796875,101784.765625,101344.796875,101466.390625,101608.578125,101353.75,101389.5390625,101552.0234375
1974-09-16,101559.46875,101762.2265625,102037.84375,101569.7421875,101697.9765625,101846.9921875,101567.6328125,101616.828125,101778.3125
1974-10-16,101442.859375,101625.4296875,101852.3984375,101444.0234375,101563.171875,101688,101446.6328125,101475.65625,101629.2109375
1974-11-16,101347.8984375,101458.3359375,101580.1796875,101335.578125,101382.125,101438.7890625,101350.2578125,101305.7265625,101373.9765625
1974-12-16,101319.78125,101423.2265625,101547.2421875,101314.5390625,101358.765625,101423.375,101353.7265625,101295.109375,101368.09375
1975-01-16,101139.9921875,101255.5234375,101400.1328125,101145.09375,101195.4453125,101268.234375,101206.640625,101138.0078125,101208.7734375
1975-02-15,101148.4296875,101158.5625,101092.609375,101143.6484375,101127.2734375,101098.2421875,101219.46875,101115.6328125,101079.3515625
1975-03-16,101119.203125,101186.0546875,101353.421875,101115.703125,101157.1875,101238.9453125,101196.40625,101121.6796875,101195.0390625
1975-04-16,101012.5703125,100962.2421875,101166.8515625,100995.2578125,100967.15625,101025.265625,101094.65625,100986.46875,101009.921875
1975-05-16,100939.640625,100978.75,101231.3046875,100936.4609375,100974.1015625,101093.2734375,101021.59375,100948.3515625,101059.7734375
1975-06-16,100905.09375,101155.3671875,101451.0625,100924.828125,101103.546875,101267.1640625,100981.203125,101007.6953125,101213.5625
1975-07-16,100946.84375,101202.375,101498.453125,100975.9921875,101165.8515625,101329.8203125,101032.96875,101079.2109375,101276.796875
1975-08-16,101007.7421875,101262.0234375,101550.65625,101039.1328125,101218.0234375,101370.7421875,101089.3828125,101126.2265625,101312.625
1975-09-16,101107.7890625,101406.7265625,101712.90625,101137.0859375,101329.4453125,101503.7890625,101196.2890625,101215.8515625,101421.3984375
1975-10-16,101142.2890625,101336.1953125,101562.4296875,101144.3125,101265.375,101390.7265625,101183.9765625,101171.3046875,101319.53125
1975-11-16,101068.40625,101273.453125,101471.1484375,101089.2265625,101201.7421875,101306.9375,101153.1875,101115.7890625,101235.3203125
1975-12-16,101105.4765625,101151.171875,101229.0625,101095.3515625,101094.28125,101119.5703125,101166.78125,101061.6015625,101057.921875
1976-01-16,100941.6796875,100875.6484375,100827.1796875,100917.1328125,100860.1875,100808.8359375,101004.1640625,100871.859375,100789.6796875
1976-02-15,101090.0859375,101078.125,101128.8984375,101071.875,101044.4140625,101045.9921875,101148.3203125,101034.5078125,101012.8828125
1976-03-16,100950.171875,100912.984375,100832.8828125,100937.921875,100883.390625,100820.453125,101017.5,100895.5703125,100804.140625
1976-04-16,100976.34375,101088.3828125,101343.890625,100979.9375,101050.015625,101168.0859375,101037.9765625,100996.6953125,101115
1976-05-16,101017.515625,101204.8203125,101456.0078125,101027.3515625,101150.5625,101281.359375,101084.28125,101073.1171875,101229.1484375
1976-06-16,100942.328125,101175.6171875,101442.4453125,100975.1640625,101140.4609375,101283.203125,101027.1875,101062.8046875,101240.15625
