Código	Mes	CWD	Estación	Departamento	Provincia	Distrito	Longitud	Latitud	Altitud (msnm)	Sector
100037	9	2	COSPAN	CAJAMARCA	CAJAMARCA	COSPAN	-78.54111111	-7.42861111	2300	SIERRA NORTE OCCIDENTAL
100037	10	5	COSPAN	CAJAMARCA	CAJAMARCA	COSPAN	-78.54111111	-7.42861111	2300	SIERRA NORTE OCCIDENTAL
100037	11	4	COSPAN	CAJAMARCA	CAJAMARCA	COSPAN	-78.54111111	-7.42861111	2300	SIERRA NORTE OCCIDENTAL
100037	12	8	COSPAN	CAJAMARCA	CAJAMARCA	COSPAN	-78.54111111	-7.42861111	2300	SIERRA NORTE OCCIDENTAL
100043	1	0	FONAGRO-(CHINCHA)	ICA	CHINCHA	CHINCHA BAJA	-76.15166667	-13.45944444	47	COSTA SUR
100043	2	0	FONAGRO-(CHINCHA)	ICA	CHINCHA	CHINCHA BAJA	-76.15166667	-13.45944444	47	COSTA SUR
100043	3	0	FONAGRO-(CHINCHA)	ICA	CHINCHA	CHINCHA BAJA	-76.15166667	-13.45944444	47	COSTA SUR
100043	4	0	FONAGRO-(CHINCHA)	ICA	CHINCHA	CHINCHA BAJA	-76.15166667	-13.45944444	47	COSTA SUR
100043	5	0	FONAGRO-(CHINCHA)	ICA	CHINCHA	CHINCHA BAJA	-76.15166667	-13.45944444	47	COSTA SUR
100043	6	0	FONAGRO-(CHINCHA)	ICA	CHINCHA	CHINCHA BAJA	-76.15166667	-13.45944444	47	COSTA SUR
100043	7	0	FONAGRO-(CHINCHA)	ICA	CHINCHA	CHINCHA BAJA	-76.15166667	-13.45944444	47	COSTA SUR
100043	8	0	FONAGRO-(CHINCHA)	ICA	CHINCHA	CHINCHA BAJA	-76.15166667	-13.45944444	47	COSTA SUR
100043	9	0	FONAGRO-(CHINCHA)	ICA	CHINCHA	CHINCHA BAJA	-76.15166667	-13.45944444	47	COSTA SUR
100043	10	2	FONAGRO-(CHINCHA)	ICA	CHINCHA	CHINCHA BAJA	-76.15166667	-13.45944444	47	COSTA SUR
